accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30,tags
15365707.04,5.201179598,7.013209088,15365710,5.759005,7.51388,15395689,9.8182,10.4335,15335729,-1.14438,-0.78287,301120917,4.518845452,4.133611808,15365707.04,5.201179598,7.013209088,15365710,5.759005,7.51388,15395689,9.8182,10.4335,15335729,-1.14438,-0.78287,301120917,4.518845452,4.133611808,15365707.04,5.201179598,7.013209088,15365710,5.759005,7.51388,15395689,9.8182,10.4335,15335729,-1.14438,-0.78287,301120917,4.518845452,4.133611808,15365707.04,5.201179598,7.013209088,15365710,5.759005,7.51388,15395689,9.8182,10.4335,15335729,-1.14438,-0.78287,301120917,4.518845452,4.133611808,?
15395743.67,2.972122018,3.655675084,15395739,1.00193,0.606904,15455772,9.8182,10.4335,15335729,-1.27127,-1.53462,1203911450,7.248277655,13.38153792,15395743.67,2.972122018,3.655675084,15395739,1.00193,0.606904,15455772,9.8182,10.4335,15335729,-1.27127,-1.53462,1203911450,7.248277655,13.38153792,15395743.67,2.972122018,3.655675084,15395739,1.00193,0.606904,15455772,9.8182,10.4335,15335729,-1.27127,-1.53462,1203911450,7.248277655,13.38153792,15395743.67,2.972122018,3.655675084,15395739,1.00193,0.606904,15455772,9.8182,10.4335,15335729,-1.27127,-1.53462,1203911450,7.248277655,13.38153792,?
15425783.07,2.205671238,2.510626195,15425780,0.703865,0.248986,15515850,9.8182,10.4335,15335729,-1.27127,-1.53462,2708440137,6.008398345,11.54417748,15425783.07,2.205671238,2.510626195,15425780,0.703865,0.248986,15515850,9.8182,10.4335,15335729,-1.27127,-1.53462,2708440137,6.008398345,11.54417748,15425783.07,2.205671238,2.510626195,15425780,0.703865,0.248986,15515850,9.8182,10.4335,15335729,-1.27127,-1.53462,2708440137,6.008398345,11.54417748,15425783.07,2.205671238,2.510626195,15425780,0.703865,0.248986,15515850,9.8182,10.4335,15335729,-1.27127,-1.53462,2708440137,6.008398345,11.54417748,?
15455824.41,1.834435294,1.941870462,15455822,0.713441,0.241804,15575940,9.8182,10.4335,15335729,-1.27127,-1.53462,4814858194,4.92497398,9.632964705,15455824.41,1.834435294,1.941870462,15455822,0.713441,0.241804,15575940,9.8182,10.4335,15335729,-1.27127,-1.53462,4814858194,4.92497398,9.632964705,15455824.41,1.834435294,1.941870462,15455822,0.713441,0.241804,15575940,9.8182,10.4335,15335729,-1.27127,-1.53462,4814858194,4.92497398,9.632964705,15455824.41,1.834435294,1.941870462,15455822,0.713441,0.241804,15575940,9.8182,10.4335,15335729,-1.27127,-1.53462,4814858194,4.92497398,9.632964705,?
15485866.38,1.687391939,1.60137035,15485859,0.703865,0.234622,15636025,10.2252,10.4335,15335729,-7.83589,-9.05688,7523046560,4.633654185,8.390612358,15485866.38,1.687391939,1.60137035,15485859,0.703865,0.234622,15636025,10.2252,10.4335,15335729,-7.83589,-9.05688,7523046560,4.633654185,8.390612358,15485866.38,1.687391939,1.60137035,15485859,0.703865,0.234622,15636025,10.2252,10.4335,15335729,-7.83589,-9.05688,7523046560,4.633654185,8.390612358,15485866.38,1.687391939,1.60137035,15485859,0.703865,0.234622,15636025,10.2252,10.4335,15335729,-7.83589,-9.05688,7523046560,4.633654185,8.390612358,?
15545949.05,0.91858297,0.26192478,15545950,0.684712,0.220257,15696110,10.2252,7.17751,15395789,-7.83589,-10.455,7523792646,1.403315631,0.687432342,15515908.71,1.632349074,1.387138831,15515900,0.694289,0.227439,15696110,10.2252,10.4335,15335729,-7.83589,-10.455,10832957927,4.469477339,7.593098909,15515908.71,1.632349074,1.387138831,15515900,0.694289,0.227439,15696110,10.2252,10.4335,15335729,-7.83589,-10.455,10832957927,4.469477339,7.593098909,15515908.71,1.632349074,1.387138831,15515900,0.694289,0.227439,15696110,10.2252,10.4335,15335729,-7.83589,-10.455,10832957927,4.469477339,7.593098909,?
15606034.16,0.888057412,0.21476264,15606041,0.670348,0.203498,15756194,10.2252,7.17751,15455872,-7.83589,-10.455,7523985416,1.410843177,0.679455466,15545951.16,1.483504442,1.197880481,15545950,0.684712,0.220257,15756194,10.2252,10.4335,15335729,-7.83589,-10.455,14744598695,3.963956618,6.723176506,15545951.16,1.483504442,1.197880481,15545950,0.684712,0.220257,15756194,10.2252,10.4335,15335729,-7.83589,-10.455,14744598695,3.963956618,6.723176506,15545951.16,1.483504442,1.197880481,15545950,0.684712,0.220257,15756194,10.2252,10.4335,15335729,-7.83589,-10.455,14744598695,3.963956618,6.723176506,?
15666118.77,0.87076883,0.181930773,15666125,0.617678,0.0790053,15816275,10.2252,7.17751,15515950,-7.83589,-10.455,7523600579,1.419031573,0.682567491,15575992.88,1.371357233,1.055191556,15575990,0.675136,0.210681,15816275,10.2252,10.4335,15335729,-7.83589,-10.455,19257587672,3.556885665,6.025353275,15575992.88,1.371357233,1.055191556,15575990,0.675136,0.210681,15816275,10.2252,10.4335,15335729,-7.83589,-10.455,19257587672,3.556885665,6.025353275,15575992.88,1.371357233,1.055191556,15575990,0.675136,0.210681,15816275,10.2252,10.4335,15335729,-7.83589,-10.455,19257587672,3.556885665,6.025353275,?
15726200.47,0.842573531,0.145176573,15726207,0.596131,0.0622466,15876343,10.2252,7.17751,15576040,-7.83589,-10.455,7522738048,1.426347706,0.680012044,15606033.33,1.283400981,0.94370719,15606041,0.663165,0.196316,15876343,10.2252,10.4335,15335729,-7.83589,-10.455,24371640124,3.223624565,5.455266473,15606033.33,1.283400981,0.94370719,15606041,0.663165,0.196316,15876343,10.2252,10.4335,15335729,-7.83589,-10.455,24371640124,3.223624565,5.455266473,15606033.33,1.283400981,0.94370719,15606041,0.663165,0.196316,15876343,10.2252,10.4335,15335729,-7.83589,-10.455,24371640124,3.223624565,5.455266473,?
15786279.9,0.737604268,0.107341053,15786286,0.58416,0.0550643,15936418,9.22686,7.17751,15636125,-0.330386,-10.455,7521837462,0.809185489,0.457707409,15636073.14,1.212498104,0.854355701,15636075,0.641618,0.138858,15936418,10.2252,10.4335,15335729,-7.83589,-10.455,30087019683,2.94652794,4.981546307,15636073.14,1.212498104,0.854355701,15636075,0.641618,0.138858,15936418,10.2252,10.4335,15335729,-7.83589,-10.455,30087019683,2.94652794,4.981546307,15636073.14,1.212498104,0.854355701,15636075,0.641618,0.138858,15936418,10.2252,10.4335,15335729,-7.83589,-10.455,30087019683,2.94652794,4.981546307,?
